Source,URL
বাংলা,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
བོད་ཡིག,https://bo.wikipedia.org/wiki/%E0%BD%96%E0%BE%B7%E0%BD%84%E0%BC%8B%E0%BD%A3%E0%BC%8B%E0%BD%A2%E0%BE%A1%E0%BD%BA%E0%BC%8B%E0%BD%A4%E0%BD%B4%E0%BC%8D
বিষ্ণুপ্রিয়া মণিপুরী,https://bpy.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
Brezhoneg,https://br.wikipedia.org/wiki/Bangladesh
Bosanski,https://bs.wikipedia.org/wiki/Banglade%C5%A1
Batak Mandailing,https://btm.wikipedia.org/wiki/Bangladesh
Буряад,https://bxr.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Català,https://ca.wikipedia.org/wiki/Bangladesh
Chavacano de Zamboanga,https://cbk-zam.wikipedia.org/wiki/Bangladesh
閩東語 / Mìng-dĕ̤ng-ngṳ̄,https://cdo.wikipedia.org/wiki/Bangladesh
Нохчийн,https://ce.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Cebuano,https://ceb.wikipedia.org/wiki/Bangladesh
Chamoru,https://ch.wikipedia.org/wiki/Bangladesh
ᏣᎳᎩ,https://chr.wikipedia.org/wiki/%E1%8F%86%E1%8F%82%E1%8E%A6%E1%8E%B5%E1%8F%95%E1%8F%8D
کوردی,https://ckb.wikipedia.org/wiki/%D8%A8%DB%95%D9%86%DA%AF%D9%84%D8%A7%D8%AF%DB%8E%D8%B4
Corsu,https://co.wikipedia.org/wiki/Bangladesh
Qırımtatarca,https://crh.wikipedia.org/wiki/Banglade%C5%9F
Čeština,https://cs.wikipedia.org/wiki/Banglad%C3%A9%C5%A1
Kaszëbsczi,https://csb.wikipedia.org/wiki/Bangladesz
Чӑвашла,https://cv.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Cymraeg,https://cy.wikipedia.org/wiki/Bangladesh
Dansk,https://da.wikipedia.org/wiki/Bangladesh
Deutsch,https://de.wikipedia.org/wiki/Bangladesch
Zazaki,https://diq.wikipedia.org/wiki/Benglade%C5%9F
Dolnoserbski,https://dsb.wikipedia.org/wiki/Banglade%C5%A1
Kadazandusun,https://dtp.wikipedia.org/wiki/Bangladesh
डोटेली,https://dty.wikipedia.org/wiki/%E0%A4%AC%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
ދިވެހިބަސް,https://dv.wikipedia.org/wiki/%DE%84%DE%A6%DE%82%DE%B0%DE%8E%DE%A7%DE%85%DE%AA
Ελληνικά,https://el.wikipedia.org/wiki/%CE%9C%CF%80%CE%B1%CE%BD%CE%B3%CE%BA%CE%BB%CE%B1%CE%BD%CF%84%CE%AD%CF%82
Esperanto,https://eo.wikipedia.org/wiki/Banglade%C5%9Do
Español,https://es.wikipedia.org/wiki/Banglad%C3%A9s
Eesti,https://et.wikipedia.org/wiki/Bangladesh
Euskara,https://eu.wikipedia.org/wiki/Bangladesh
Estremeñu,https://ext.wikipedia.org/wiki/Bangladesh
فارسی,https://fa.wikipedia.org/wiki/%D8%A8%D9%86%DA%AF%D9%84%D8%A7%D8%AF%D8%B4
Fulfulde,https://ff.wikipedia.org/wiki/Banngladesh
Suomi,https://fi.wikipedia.org/wiki/Bangladesh
Võro,https://fiu-vro.wikipedia.org/wiki/Bangladesh
Na Vosa Vakaviti,https://fj.wikipedia.org/wiki/Bangladesh
Føroyskt,https://fo.wikipedia.org/wiki/Bangladesj
Français,https://fr.wikipedia.org/wiki/Bangladesh
Arpetan,https://frp.wikipedia.org/wiki/Bangllad%C3%A8cho
Nordfriisk,https://frr.wikipedia.org/wiki/Bangladesch
Furlan,https://fur.wikipedia.org/wiki/Bangladesh
Frysk,https://fy.wikipedia.org/wiki/Bangladesj
Gaeilge,https://ga.wikipedia.org/wiki/An_Bhanglaid%C3%A9is
Gagauz,https://gag.wikipedia.org/wiki/Banglade%C5%9F
贛語,https://gan.wikipedia.org/wiki/%E5%AD%9F%E5%8A%A0%E6%8B%89
Kriyòl gwiyannen,https://gcr.wikipedia.org/wiki/Bangladesh
Gàidhlig,https://gd.wikipedia.org/wiki/Bangladais
Galego,https://gl.wikipedia.org/wiki/Bangladesh
گیلکی,https://glk.wikipedia.org/wiki/%D8%A8%D9%86%DA%AF%D9%84%D8%A7%D8%AF%D8%B4
Avañe'ẽ,https://gn.wikipedia.org/wiki/Vangalande
गोंयची कोंकणी / Gõychi Konknni,https://gom.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Bahasa Hulontalo,https://gor.wikipedia.org/wiki/Bangladesh
ગુજરાતી,https://gu.wikipedia.org/wiki/%E0%AA%AC%E0%AA%BE%E0%AA%82%E0%AA%97%E0%AB%8D%E0%AA%B2%E0%AA%BE%E0%AA%A6%E0%AB%87%E0%AA%B6
Gaelg,https://gv.wikipedia.org/wiki/Yn_Vangladesh
Hausa,https://ha.wikipedia.org/wiki/Bangladesh
客家語 / Hak-kâ-ngî,https://hak.wikipedia.org/wiki/Bangladesh
Hawaiʻi,https://haw.wikipedia.org/wiki/Banagaladesa
עברית,https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%92%D7%9C%D7%93%D7%A9
हिन्दी,https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Fiji Hindi,https://hif.wikipedia.org/wiki/Bangladesh
Hrvatski,https://hr.wikipedia.org/wiki/Banglade%C5%A1
Hornjoserbsce,https://hsb.wikipedia.org/wiki/Banglade%C5%A1
Kreyòl ayisyen,https://ht.wikipedia.org/wiki/Banglad%C3%A8ch
Magyar,https://hu.wikipedia.org/wiki/Banglades
Հայերեն,https://hy.wikipedia.org/wiki/%D4%B2%D5%A1%D5%B6%D5%A3%D5%AC%D5%A1%D5%A4%D5%A5%D5%B7
Արեւմտահայերէն,https://hyw.wikipedia.org/wiki/%D5%8A%D5%A1%D5%B6%D5%AF%D5%AC%D5%A1%D5%BF%D5%A5%D5%B7
Interlingua,https://ia.wikipedia.org/wiki/Bangladesh
Jaku Iban,https://iba.wikipedia.org/wiki/Bangladesh
Bahasa Indonesia,https://id.wikipedia.org/wiki/Bangladesh
Interlingue,https://ie.wikipedia.org/wiki/Bangladesh
Ilokano,https://ilo.wikipedia.org/wiki/Banglades
ГӀалгӀай,https://inh.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D0%B3%D0%B0%D0%BB%D0%BE%D0%B9%D1%87%D0%B5
Ido,https://io.wikipedia.org/wiki/Bangladesh
Íslenska,https://is.wikipedia.org/wiki/Bangladess
Italiano,https://it.wikipedia.org/wiki/Bangladesh
日本語,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%87%E3%82%B7%E3%83%A5
Patois,https://jam.wikipedia.org/wiki/Banggladesh
La .lojban.,https://jbo.wikipedia.org/wiki/begygu%27e
Jawa,https://jv.wikipedia.org/wiki/Banggalad%C3%A9sa
ქართული,https://ka.wikipedia.org/wiki/%E1%83%91%E1%83%90%E1%83%9C%E1%83%92%E1%83%9A%E1%83%90%E1%83%93%E1%83%94%E1%83%A8%E1%83%98
Qaraqalpaqsha,https://kaa.wikipedia.org/wiki/Bangladesh
Taqbaylit,https://kab.wikipedia.org/wiki/Bangladec
Karai-karai,https://kai.wikipedia.org/wiki/Bangladesh
Jju,https://kaj.wikipedia.org/wiki/Bangladesh
Kabɩyɛ,https://kbp.wikipedia.org/wiki/Pa%C5%8Bg%C9%A9lad%C9%9B%C9%9Bs%C9%A9
Kongo,https://kg.wikipedia.org/wiki/Bangladesh
Kumoring,https://kge.wikipedia.org/wiki/Bangladesh
Gĩkũyũ,https://ki.wikipedia.org/wiki/Bangladesh
Қазақша,https://kk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
ភាសាខ្មែរ,https://km.wikipedia.org/wiki/%E1%9E%94%E1%9E%84%E1%9F%8B%E1%9E%80%E1%9F%92%E1%9E%9B%E1%9E%B6%E1%9E%8A%E1%9F%82%E1%9E%9F
ಕನ್ನಡ,https://kn.wikipedia.org/wiki/%E0%B2%AC%E0%B2%BE%E0%B2%82%E0%B2%97%E0%B3%8D%E0%B2%B2%E0%B2%BE%E0%B2%A6%E0%B3%87%E0%B2%B6
Yerwa Kanuri,https://knc.wikipedia.org/wiki/Bangladesh
한국어,https://ko.wikipedia.org/wiki/%EB%B0%A9%EA%B8%80%EB%9D%BC%EB%8D%B0%EC%8B%9C
Къарачай-малкъар,https://krc.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
کٲشُر,https://ks.wikipedia.org/wiki/%D8%A8%D9%8E%D9%86%D9%9B%DA%AF%D9%84%DB%81_%D8%AF%DB%8C%D9%96%D8%B4
Kurdî,https://ku.wikipedia.org/wiki/Benglade%C5%9F
Коми,https://kv.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Kernowek,https://kw.wikipedia.org/wiki/Bangladesh
Кыргызча,https://ky.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Latina,https://la.wikipedia.org/wiki/Bangladesa
Ladino,https://lad.wikipedia.org/wiki/Bangladesh
Lëtzebuergesch,https://lb.wikipedia.org/wiki/Bangladesch
Лезги,https://lez.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Lingua Franca Nova,https://lfn.wikipedia.org/wiki/Bangladex
Limburgs,https://li.wikipedia.org/wiki/Bangladesh
Ligure,https://lij.wikipedia.org/wiki/Bangladesh
Ladin,https://lld.wikipedia.org/wiki/Bangladesc
Lombard,https://lmo.wikipedia.org/wiki/Bangladesh
Lingála,https://ln.wikipedia.org/wiki/B%C3%A1ngalad%C9%9B%CC%81si
ລາວ,https://lo.wikipedia.org/wiki/%E0%BA%9B%E0%BA%B0%E0%BB%80%E0%BA%97%E0%BA%94%E0%BA%9A%E0%BA%B1%E0%BA%87%E0%BA%81%E0%BA%A5%E0%BA%B2%E0%BB%80%E0%BA%97%E0%BA%94
Lietuvių,https://lt.wikipedia.org/wiki/Banglade%C5%A1as
Latviešu,https://lv.wikipedia.org/wiki/Banglade%C5%A1a
Madhurâ,https://mad.wikipedia.org/wiki/Bangladesh
मैथिली,https://mai.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%99%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Basa Banyumasan,https://map-bms.wikipedia.org/wiki/Bangladesh
Мокшень,https://mdf.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D1%8D%D1%88
Malagasy,https://mg.wikipedia.org/wiki/Bangladesy
Олык марий,https://mhr.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Māori,https://mi.wikipedia.org/wiki/P%C4%81karat%C4%93hi
Minangkabau,https://min.wikipedia.org/wiki/Bangladesh
Македонски,https://mk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
മലയാളം,https://ml.wikipedia.org/wiki/%E0%B4%AC%E0%B4%82%E0%B4%97%E0%B5%8D%E0%B4%B2%E0%B4%BE%E0%B4%A6%E0%B5%87%E0%B4%B6%E0%B5%8D
Монгол,https://mn.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
ꯃꯤꯇꯩ ꯂꯣꯟ,https://mni.wikipedia.org/wiki/%EA%AF%95%EA%AF%A5%EA%AF%A1%EA%AF%82%EA%AF%A5%EA%AF%97%EA%AF%A6%EA%AF%81
मराठी,https://mr.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Bahasa Melayu,https://ms.wikipedia.org/wiki/Bangladesh
Malti,https://mt.wikipedia.org/wiki/Bangladexx
Mirandés,https://mwl.wikipedia.org/wiki/Bangladexe
မြန်မာဘာသာ,https://my.wikipedia.org/wiki/%E1%80%98%E1%80%84%E1%80%BA%E1%80%B9%E1%80%82%E1%80%9C%E1%80%AC%E1%80%B8%E1%80%92%E1%80%B1%E1%80%B7%E1%80%9B%E1%80%BE%E1%80%BA%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6
Эрзянь,https://myv.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88_%D0%9C%D0%B0%D1%81%D1%82%D0%BE%D1%80
مازِرونی,https://mzn.wikipedia.org/wiki/%D8%A8%D9%86%DA%AF%D9%84%D8%A7%D8%AF%D8%B4
Nedersaksies,https://nds-nl.wikipedia.org/wiki/Bangladesh
Plattdüütsch,https://nds.wikipedia.org/wiki/Bangladesch
नेपाली,https://ne.wikipedia.org/wiki/%E0%A4%AC%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
नेपाल भाषा,https://new.wikipedia.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6
Li Niha,https://nia.wikipedia.org/wiki/Bangladesh
Nederlands,https://nl.wikipedia.org/wiki/Bangladesh
Norsk nynorsk,https://nn.wikipedia.org/wiki/Bangladesh
Norsk bokmål,https://no.wikipedia.org/wiki/Bangladesh
Novial,https://nov.wikipedia.org/wiki/Bangladesh
Diné bizaad,https://nv.wikipedia.org/wiki/Ha%CA%BCa%CA%BCaahj%C3%AD_Naakaii_Doot%C5%82%CA%BCizh%C3%AD_Bik%C3%A9yah
Occitan,https://oc.wikipedia.org/wiki/Banglad%C3%A8sh
Livvinkarjala,https://olo.wikipedia.org/wiki/Banglade%C5%A1
Oromoo,https://om.wikipedia.org/wiki/Baangilaadish
ଓଡ଼ିଆ,https://or.wikipedia.org/wiki/%E0%AC%AC%E0%AC%99%E0%AD%8D%E0%AC%97%E0%AC%B3%E0%AC%BE%E0%AC%A6%E0%AD%87%E0%AC%B6
Ирон,https://os.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
ਪੰਜਾਬੀ,https://pa.wikipedia.org/wiki/%E0%A8%AC%E0%A9%B0%E0%A8%97%E0%A8%B2%E0%A8%BE%E0%A8%A6%E0%A9%87%E0%A8%B8%E0%A8%BC
Kapampangan,https://pam.wikipedia.org/wiki/Banglades
Papiamentu,https://pap.wikipedia.org/wiki/Banglad%C3%A8sh
Picard,https://pcd.wikipedia.org/wiki/Bangladek
Polski,https://pl.wikipedia.org/wiki/Bangladesz
Piemontèis,https://pms.wikipedia.org/wiki/Bangladesh
پنجابی,https://pnb.wikipedia.org/wiki/%D8%A8%D9%86%DA%AF%D9%84%D8%A7_%D8%AF%DB%8C%D8%B4
پښتو,https://ps.wikipedia.org/wiki/%D8%A8%D9%86%DA%AB%D9%84%D9%87_%D8%AF%DB%90%D8%B4
Português,https://pt.wikipedia.org/wiki/Bangladesh
Runa Simi,https://qu.wikipedia.org/wiki/Panlaris
ရခိုင်,https://rki.wikipedia.org/wiki/%E1%80%98%E1%80%84%E1%80%BA%E1%80%B9%E1%80%82%E1%80%9C%E1%80%AC%E1%80%B8%E1%80%92%E1%80%B1%E1%80%B7%E1%80%9B%E1%80%BE%E1%80%BA%E1%80%94%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA%E1%80%84%E1%80%B6
Rumantsch,https://rm.wikipedia.org/wiki/Bangladesch
Romani čhib,https://rmy.wikipedia.org/wiki/Bangladesh
Română,https://ro.wikipedia.org/wiki/Bangladesh
Armãneashti,https://roa-rup.wikipedia.org/wiki/Bangladesh
Tarandíne,https://roa-tara.wikipedia.org/wiki/Bangladesh
Русский,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Русиньскый,https://rue.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D2%91%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
Ikinyarwanda,https://rw.wikipedia.org/wiki/Bangaladeshi
संस्कृतम्,https://sa.wikipedia.org/wiki/%E0%A4%AC%E0%A4%BE%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A4%83
Саха тыла,https://sah.wikipedia.org/wiki/%D0%91%D0%B0%D2%A5%D0%BB%D0%B0%D0%B4%D0%B5%D1%88
ᱥᱟᱱᱛᱟᱲᱤ,https://sat.wikipedia.org/wiki/%E1%B1%B5%E1%B1%9F%E1%B1%9D%E1%B1%9E%E1%B1%9F%E1%B1%AB%E1%B1%AE%E1%B1%A5
Sardu,https://sc.wikipedia.org/wiki/Bangladesh
Sicilianu,https://scn.wikipedia.org/wiki/Bangladesci
Scots,https://sco.wikipedia.org/wiki/Bangladesh
سنڌي,https://sd.wikipedia.org/wiki/%D8%A8%D9%86%DA%AF%D9%84%D8%A7%D8%AF%D9%8A%D8%B4
Davvisámegiella,https://se.wikipedia.org/wiki/Bangladesh
Srpskohrvatski / српскохрватски,https://sh.wikipedia.org/wiki/Banglade%C5%A1
